Station,Grand Total,Long-distance Service Only,Threshold,On-time Performance (Meet or exceed threshold),NB Average,SB Average
ALX,0.616753247,No,0.8,No,0.6018741633199465,0.6307692307692307
ASD,0.595649392,No,0.8,No,0.8379850238257318,0.38080869040434523
BCV,0.628453039,No,0.8,No,0.6208791208791209,0.6361111111111111
CLF,0.477419355,Yes,0.7,No,0.461038961038961,0.4935897435897436
CLP,0.556451613,No,0.8,No,0.552870090634441,0.5600403632694249
CVS,0.619959677,No,0.8,No,0.6606243705941591,0.579212916246216
DAN,0.528239203,Yes,0.7,No,0.6511627906976745,0.4053156146179402
FBG,0.604547586,No,0.8,No,0.7123015873015873,0.508
LYH,0.617084827,No,0.8,No,0.7866507747318237,0.4467065868263473
MSS,0.552419355,No,0.8,No,0.4813695871097684,0.6236125126135217
NFK,0.547505938,No,0.8,No,,0.5475059382422803
NPN,0.573426573,No,0.8,No,,0.5734265734265734
PTB,0.500885403,No,0.8,No,0.5140918580375783,0.4884634266077565
QAN,0.595534787,No,0.8,No,0.7003275109170306,0.5004950495049505
RNK,0.468164794,No,0.8,No,,0.4681647940074906
RVM,0.616201859,No,0.8,No,0.743455497382199,0.5380493033226152
RVR,0.579426172,No,0.8,No,0.6648431801604668,0.5006724949562879
STA,0.516129032,Yes,0.7,No,0.5974025974025974,0.4358974358974359
WAS,0.712132725,No,0.8,No,0.6236616702355461,0.7915865384615385
WBG,0.698689956,No,0.8,No,0.8638743455497382,0.5332167832167832
WDB,0.679644049,No,0.8,No,0.8106591865357644,0.5935483870967742
